"","GEOID","NAME","Minutes_Total_E","Minutes_Total_M","Minutes_Less_than_5_E","Minutes_Less_than_5_M","Minutes_5_to_9_E","Minutes_5_to_9_M","Minutes_10_to_14_E","Minutes_10_to_14_M","Minutes_15_to_19_E","Minutes_15_to_19_M","Minutes_20_to_24_E","Minutes_20_to_24_M","Minutes_25_to_29_E","Minutes_25_to_29_M","Minutes_30_to_34_E","Minutes_30_to_34_M","Minutes_35_to_39_E","Minutes_35_to_39_M","Minutes_40_to_44_E","Minutes_40_to_44_M","Minutes_45_to_59_E","Minutes_45_to_59_M","Minutes_60_to_89_E","Minutes_60_to_89_M","Minutes_90_or_more_E","Minutes_90_or_more_M","year"
"185","32","Nevada",1238418,11295,31721,3119,104397,5358,170072,8029,207208,8266,238789,7277,104217,6394,200175,7011,27319,2826,34752,3327,54526,4607,38174,3279,27068,3138,2014
"186","33","New Hampshire",644441,7170,25666,2701,75086,4717,82088,4973,87742,4398,81865,5030,42146,3337,80685,4132,22424,1971,29270,2896,55426,3007,41068,3068,20975,2494,2014
"187","34","New Jersey",4101270,20469,89788,4751,320296,11173,485537,9715,526199,10725,541869,13077,247301,7210,536299,11657,122740,6034,195654,7676,400533,9953,437215,10846,197839,7042,2014
"188","35","New Mexico",830987,9449,31198,3075,110469,6458,155903,7080,148689,6369,121106,5577,44082,3677,95133,5854,15917,2066,19399,2282,45448,4368,27274,2537,16369,2075,2014
"189","36","New York",8808065,29421,222969,7417,652886,13788,919508,15634,1043162,16091,1080800,17590,468428,11483,1254871,21800,263321,8841,457830,13178,962352,15611,1006767,14800,475171,9371,2014
"190","37","North Carolina",4221920,20777,123442,6126,428222,11001,637951,13447,727737,13721,668550,14368,295016,9796,548840,11948,122517,6480,138348,6826,288861,8508,168327,6210,74109,4844,2014
"191","38","North Dakota",368137,4956,31969,2420,79902,4299,85719,3658,64780,3652,40110,3421,10311,1162,19030,2006,3063,690,4201,833,10133,1233,11582,1439,7337,1280,2014
"192","39","Ohio",5136488,21793,177876,7576,571986,13395,745561,10850,836335,15793,834194,13925,410051,9167,645542,10610,165929,5133,177271,6296,319601,9676,171211,6769,80931,4203,2014
"193","40","Oklahoma",1661975,10201,70778,4084,231010,6507,275441,7075,293220,6868,255897,5776,104940,4737,203456,5193,34378,2594,36933,2423,82156,3002,46291,2894,27475,2558,2014
"194","41","Oregon",1666823,13510,68892,5244,207184,8378,256438,9344,281650,8238,253668,7787,101123,5066,199003,8224,41123,2846,56070,3863,101472,5056,68753,4557,31447,3020,2014
"195","42","Pennsylvania",5687033,23133,189126,7237,567831,10212,785446,13869,840680,14956,814441,14892,368051,9243,727301,12427,181483,5420,241380,7419,478395,9158,334846,8270,158053,6996,2014
"196","44","Rhode Island",485922,7043,12536,1759,52670,3927,75082,4712,80610,4026,77070,4944,33917,3473,61993,4243,12995,1824,17363,2156,30220,2408,20056,2794,11410,1584,2014
"197","45","South Carolina",2045227,15948,62631,4427,198090,7757,296472,8784,342285,8537,337083,10988,139426,6469,284904,10300,62739,3681,63753,4722,139389,5879,81046,4624,37409,3297,2014
"198","46","South Dakota",411699,4697,37117,2604,85288,3799,85807,4415,73093,3823,50944,3305,19177,2188,27981,1944,4018,712,5426,890,10712,1237,7875,1247,4261,952,2014
"199","47","Tennessee",2759479,17781,76362,4291,261936,9418,400230,12257,444367,9838,442017,8900,193196,7641,393733,9961,82550,4937,92784,5870,208967,8800,117509,6312,45828,3301,2014
"200","48","Texas",11781625,35811,333159,9125,1146354,17575,1613942,25069,1881889,27907,1730868,22085,691516,17499,1746800,27122,316053,10772,408672,11363,992503,16301,673752,16589,246117,8371,2014
"201","49","Utah",1271929,9185,53418,3881,172753,5950,212401,7690,218224,7651,206037,6894,77424,3923,140585,5428,26617,2727,33481,3054,67763,3844,43068,3426,20158,2088,2014
