state,fips,year,traffic_deaths,population,traffic_crude_rate,traffic_crude_rate_standard_error,traffic_age_adjusted_rate,traffic_age_adjusted_rate_standard_error,long_commute_prop,long_car_commute_prop,long_car_commute_alone_prop,deaths,crude_rate,crude_rate_standard_error,age_adjusted_rate,age_adjusted_rate_standard_error
South Carolina,45,2016,1106,4961119,22.3,0.7,22.1,0.7,34.833727501494295,33.92407611105808,30.268446623172572,48130,970.1,4.4,829.8,3.9
South Dakota,46,2012,153,833354,18.4,1.5,18.3,1.5,15.301667641305883,14.383406263233248,11.801536569135529,7333,879.9,10.3,712.3,8.5
South Dakota,46,2013,151,844877,17.9,1.5,17.7,1.5,15.196969846713381,14.388286569878339,11.650919620884931,7099,840.2,10,679.3,8.3
South Dakota,46,2014,164,853175,19.2,1.5,19.1,1.5,14.64006470746832,14.186335162339475,11.854291606246312,7507,879.9,10.2,710.4,8.4
South Dakota,46,2015,152,858469,17.7,1.4,17.2,1.4,14.67043444412143,14.21539401524521,11.910135058561512,7731,900.6,10.2,715.4,8.4
South Dakota,46,2016,145,865454,16.8,1.4,16.8,1.4,15.198759827261654,14.643388821220734,12.446757465027867,7845,906.5,10.2,719.5,8.4
Tennessee,47,2012,1060,6456243,16.4,0.5,16.1,0.5,33.88590995022812,32.82537540045642,28.846091324804963,61956,959.6,3.9,880.6,3.6
Tennessee,47,2013,1049,6495978,16.1,0.5,15.9,0.5,33.87463332793702,32.77093534402582,28.750122878765342,63406,976.1,3.9,881.1,3.5
Tennessee,47,2014,1026,6549352,15.7,0.5,15.3,0.5,34.114084579009294,32.990357962499445,29.349163374680508,64661,987.3,3.9,880,3.5
Tennessee,47,2015,1021,6600299,15.5,0.5,15,0.5,34.38596355451959,33.34165887759234,29.84665402825596,66570,1008.6,3.9,886.4,3.5
Tennessee,47,2016,1143,6651194,17.2,0.5,16.7,0.5,35.47107246009494,34.60001654460619,30.960836805060538,67857,1020.2,3.9,886.3,3.5
Texas,48,2012,3789,26059203,14.5,0.2,14.6,0.2,36.510978361774434,34.492443608506804,29.732216904656926,174187,668.4,1.6,753.3,1.8
Texas,48,2013,3743,26448193,14.2,0.2,14.3,0.2,36.7054463860509,34.691593092115724,30.004528202209386,179183,677.5,1.6,751.6,1.8
Texas,48,2014,3863,26956958,14.3,0.2,14.4,0.2,37.209612426129674,35.06357569520333,30.543604978090883,183912,682.2,1.6,745.3,1.8
Texas,48,2015,3875,27469114,14.1,0.2,14.1,0.2,38.57404830372334,36.592839469776656,32.251525470591126,189654,690.4,1.6,745,1.7
Texas,48,2016,4188,27862596,15,0.2,15,0.2,38.77396292689984,36.88379298283543,32.518712671759744,191966,689,1.6,730.6,1.7
Utah,49,2012,269,2855287,9.4,0.6,10,0.6,27.270253856431438,24.311429612534923,19.536013603789627,15676,549,4.4,700,5.7
Utah,49,2013,256,2900872,8.8,0.6,9.5,0.6,25.617900882675233,22.76079718950143,18.47885070798665,16366,564.2,4.4,710.4,5.6
Utah,49,2014,287,2942902,9.8,0.6,10.5,0.6,26.076298283945093,23.29155165107486,18.733671454931837,16719,568.1,4.4,709.6,5.6
Utah,49,2015,305,2995919,10.2,0.6,10.7,0.6,25.264040680024287,22.40209471766849,18.45340012143291,17334,578.6,4.4,712.1,5.5
Utah,49,2016,302,3051217,9.9,0.6,10.3,0.6,26.448479867553992,23.56086612094006,19.8577036164525,17913,587.1,4.4,714.7,5.4
Vermont,50,2012,79,626011,12.6,1.4,12,1.4,30.59810036666712,29.00492497530747,24.281887185593092,5491,877.1,11.8,700.1,9.6
