"","GEOID","NAME","Minutes_Total_E","Minutes_Total_M","Minutes_Less_than_5_E","Minutes_Less_than_5_M","Minutes_5_to_9_E","Minutes_5_to_9_M","Minutes_10_to_14_E","Minutes_10_to_14_M","Minutes_15_to_19_E","Minutes_15_to_19_M","Minutes_20_to_24_E","Minutes_20_to_24_M","Minutes_25_to_29_E","Minutes_25_to_29_M","Minutes_30_to_34_E","Minutes_30_to_34_M","Minutes_35_to_39_E","Minutes_35_to_39_M","Minutes_40_to_44_E","Minutes_40_to_44_M","Minutes_45_to_59_E","Minutes_45_to_59_M","Minutes_60_to_89_E","Minutes_60_to_89_M","Minutes_90_or_more_E","Minutes_90_or_more_M","year"
"2269","13063","Clayton County, Georgia",104600,3817,2650,1104,4309,1083,11820,2003,16119,2776,19398,2569,7112,1617,16777,2413,4059,1412,3611,1160,10267,1826,6197,1534,2281,824,2013
"2270","13067","Cobb County, Georgia",335297,5063,6748,1513,23160,2960,36330,3467,41607,3800,45736,3420,18404,2266,56341,4404,13181,1870,17106,2358,41621,4050,28649,3213,6414,1513,2013
"2271","13073","Columbia County, Georgia",59265,3080,420,276,2966,983,7137,1806,12088,2117,12236,2541,4779,1337,9829,2011,587,371,1752,857,3730,1006,2623,885,1118,590,2013
"2272","13077","Coweta County, Georgia",56831,2615,280,212,4021,1475,6084,1514,7840,1516,6285,1364,4584,1248,7301,1423,3138,1006,3405,965,6467,1376,5510,1362,1916,728,2013
"2273","13089","DeKalb County, Georgia",318071,6833,2081,860,13854,1922,31856,3621,33403,3255,55580,4303,23290,2622,62616,4823,12016,1845,15197,2064,35441,3487,20401,2752,12336,2142,2013
"2274","13095","Dougherty County, Georgia",31023,2122,1439,907,4843,1054,6953,1486,6398,1688,5182,1089,1194,509,2447,726,316,282,406,353,381,241,417,278,1047,634,2013
"2275","13097","Douglas County, Georgia",57790,2411,315,273,4204,1509,5857,1505,8941,1690,6449,1546,2138,849,7799,1657,1864,922,2791,1009,10291,1624,5436,1526,1705,801,2013
"2276","13113","Fayette County, Georgia",44824,1998,1351,803,2708,798,5625,1305,4808,1261,5068,1197,2961,934,6484,1408,1294,444,2925,914,6736,1407,3944,959,920,404,2013
"2277","13115","Floyd County, Georgia",36814,2337,1261,549,5015,1388,6186,1363,9106,1902,5147,1395,2142,729,3526,1084,332,216,196,203,1207,571,1767,1071,929,496,2013
"2278","13117","Forsyth County, Georgia",81039,2472,909,372,5501,1387,9854,1361,9864,1486,13172,1365,5022,1147,11405,1761,2413,646,3244,739,8062,1355,8925,1326,2668,654,2013
"2279","13121","Fulton County, Georgia",419773,6616,6014,1693,28879,3366,47632,4265,73338,5278,78623,5488,23352,2648,54872,4237,9093,1868,18280,2588,40916,4955,28307,3543,10467,1967,2013
"2280","13127","Glynn County, Georgia",31251,2265,1165,677,5073,1316,6125,1385,7455,1291,5359,1447,1277,614,2288,867,0,214,36,63,1568,779,583,456,322,304,2013
"2281","13135","Gwinnett County, Georgia",376784,6649,4432,1271,23141,3424,37036,3801,43610,4562,54460,4128,19747,2696,63257,5679,14611,3142,18138,2235,52644,5018,35155,4187,10553,2577,2013
"2282","13139","Hall County, Georgia",81007,3171,1027,460,6967,1448,11286,2098,15030,2500,14025,1899,4831,1201,10481,1722,2391,742,1961,809,5494,1671,4983,1057,2531,838,2013
"2283","13151","Henry County, Georgia",86871,3838,1422,749,4151,1587,7916,1696,8580,2163,13039,1986,4664,1223,13113,2463,5119,1985,4988,1649,13297,2234,7883,1591,2699,908,2013
"2284","13153","Houston County, Georgia",58892,3437,1293,934,5516,1584,9639,2039,13651,2627,11248,1798,4385,1406,7517,1898,1292,676,758,570,2523,1206,651,364,419,279,2013
